index,latency_s,arrival_time,sent_gps_time,payload
47,1,1773983509,1773983508,"{""worker_id"": 10,""event"":""NOISE_OVER_THRESHOLD"",""datetime"":""2026/03/20,05:11:48"",""latitude"":49.263422,""longitude"":-123.251471,""altitude"":0.00,""noise_db"":115,""fall_detection"":0.00,""aqi_uba"":0,""aqi_pm25_us"":0,""aqi_pm100_us"":0}"
48,2,1773983513,1773983511,"{""worker_id"": 10,""event"":""AIR_QUALITY_OVER_THRESHOLD"",""datetime"":""2026/03/20,05:11:51"",""latitude"":49.263422,""longitude"":-123.251471,""altitude"":0.00,""noise_db"":0,""fall_detection"":0.00,""aqi_uba"":2,""aqi_pm25_us"":150,""aqi_pm100_us"":50}"
49,1,1773983519,1773983518,"{""worker_id"": 10,""event"":""NOISE_OVER_THRESHOLD"",""datetime"":""2026/03/20,05:11:58"",""latitude"":49.263422,""longitude"":-123.251471,""altitude"":0.00,""noise_db"":115,""fall_detection"":0.00,""aqi_uba"":0,""aqi_pm25_us"":0,""aqi_pm100_us"":0}"
50,2,1773983523,1773983521,"{""worker_id"": 10,""event"":""AIR_QUALITY_OVER_THRESHOLD"",""datetime"":""2026/03/20,05:12:01"",""latitude"":49.263422,""longitude"":-123.251471,""altitude"":0.00,""noise_db"":0,""fall_detection"":0.00,""aqi_uba"":2,""aqi_pm25_us"":150,""aqi_pm100_us"":50}"
51,2,1773983529,1773983527,"{""worker_id"": 10,""event"":""NOISE_OVER_THRESHOLD"",""datetime"":""2026/03/20,05:12:07"",""latitude"":49.263422,""longitude"":-123.251471,""altitude"":0.00,""noise_db"":115,""fall_detection"":0.00,""aqi_uba"":0,""aqi_pm25_us"":0,""aqi_pm100_us"":0}"
52,0,1773983533,1773983533,"{""worker_id"": 10,""event"":""AIR_QUALITY_OVER_THRESHOLD"",""datetime"":""2026/03/20,05:12:13"",""latitude"":49.263422,""longitude"":-123.251471,""altitude"":0.00,""noise_db"":0,""fall_detection"":0.00,""aqi_uba"":2,""aqi_pm25_us"":150,""aqi_pm100_us"":50}"
53,1,1773983539,1773983538,"{""worker_id"": 10,""event"":""NOISE_OVER_THRESHOLD"",""datetime"":""2026/03/20,05:12:18"",""latitude"":49.263422,""longitude"":-123.251471,""altitude"":0.00,""noise_db"":115,""fall_detection"":0.00,""aqi_uba"":0,""aqi_pm25_us"":0,""aqi_pm100_us"":0}"
54,2,1773983543,1773983541,"{""worker_id"": 10,""event"":""AIR_QUALITY_OVER_THRESHOLD"",""datetime"":""2026/03/20,05:12:21"",""latitude"":49.263422,""longitude"":-123.251471,""altitude"":0.00,""noise_db"":0,""fall_detection"":0.00,""aqi_uba"":2,""aqi_pm25_us"":150,""aqi_pm100_us"":50}"
55,2,1773983549,1773983547,"{""worker_id"": 10,""event"":""NOISE_OVER_THRESHOLD"",""datetime"":""2026/03/20,05:12:27"",""latitude"":49.263422,""longitude"":-123.251471,""altitude"":0.00,""noise_db"":115,""fall_detection"":0.00,""aqi_uba"":0,""aqi_pm25_us"":0,""aqi_pm100_us"":0}"
56,1,1773983553,1773983552,"{""worker_id"": 10,""event"":""AIR_QUALITY_OVER_THRESHOLD"",""datetime"":""2026/03/20,05:12:32"",""latitude"":49.263422,""longitude"":-123.251471,""altitude"":0.00,""noise_db"":0,""fall_detection"":0.00,""aqi_uba"":2,""aqi_pm25_us"":150,""aqi_pm100_us"":50}"
