system_timestamp,event_type,esp32_timestamp_ms,duration_us,success
2026-03-22T22:56:31.796529,A,1205121,1504,1
2026-03-22T22:56:31.823186,A,1205143,1459,1
2026-03-22T22:56:31.870594,A,1205176,1471,1
2026-03-22T22:56:31.896793,A,1205198,1497,1
2026-03-22T22:56:31.922386,A,1205221,1436,1
2026-03-22T22:56:31.945580,A,1205243,1227,1
2026-03-22T22:56:31.971900,A,1205298,1547,1
2026-03-22T22:56:31.997216,A,1205320,1521,1
2026-03-22T22:56:32.021409,A,1205342,1366,1
2026-03-22T22:56:32.047182,A,1205375,1441,1
2026-03-22T22:56:32.070648,A,1205397,1510,1
2026-03-22T22:56:32.098259,A,1205419,1408,1
2026-03-22T22:56:32.123263,A,1205452,1418,1
2026-03-22T22:56:32.147382,A,1205496,1608,1
2026-03-22T22:56:32.173437,A,1205519,1423,1
2026-03-22T22:56:32.217739,A,1205574,1469,1
2026-03-22T22:56:32.247337,A,1205596,1599,1
2026-03-22T22:56:32.271712,A,1205618,1447,1
2026-03-22T22:56:32.296810,A,1205641,1408,1
2026-03-22T22:56:32.321939,A,1205695,1399,1
2026-03-22T22:56:32.347110,A,1205718,1548,1
2026-03-22T22:56:32.370859,A,1205740,1393,1
2026-03-22T22:56:32.396199,A,1205773,1785,1
2026-03-22T22:56:32.420235,A,1205795,1633,1
2026-03-22T22:56:32.447358,A,1205818,1517,1
2026-03-22T22:56:32.469740,A,1205840,1449,1
2026-03-22T22:56:32.497466,A,1205873,1652,1
2026-03-22T22:56:32.523235,A,1205895,1391,1
2026-03-22T22:56:32.547371,A,1205917,1532,1
2026-03-22T22:56:32.573217,A,1205940,1408,1
2026-03-22T22:56:32.596337,A,1205971,1402,1
2026-03-22T22:56:32.622955,A,1205993,1322,1
2026-03-22T22:56:32.648784,A,1206016,1629,1
2026-03-22T22:56:32.673235,A,1206048,1440,1
2026-03-22T22:56:32.697648,A,1206071,1231,1
2026-03-22T22:56:32.723853,A,1206116,1550,1
2026-03-22T22:56:32.747869,A,1206148,1347,1
2026-03-22T22:56:32.774175,A,1206170,1464,1
2026-03-22T22:56:32.797888,A,1206192,1409,1
2026-03-22T22:56:32.824164,A,1206215,1563,1
2026-03-22T22:56:32.849489,A,1206246,1255,1
2026-03-22T22:56:32.874197,A,1206268,1421,1
2026-03-22T22:56:32.899092,A,1206291,1272,1
2026-03-22T22:56:32.924232,A,1206345,1258,1
2026-03-22T22:56:32.946119,A,1206367,1193,1
2026-03-22T22:56:32.973789,A,1206389,1205,1
2026-03-22T22:56:32.999239,A,1206422,1364,1
2026-03-22T22:56:33.024448,A,1206466,1470,1
2026-03-22T22:56:33.048073,A,1206489,1390,1
2026-03-22T22:56:33.073847,A,1206521,1553,1
2026-03-22T22:56:33.099081,A,1206543,1410,1
2026-03-22T22:56:33.123989,A,1206566,1316,1
2026-03-22T22:56:33.150155,A,1206588,1433,1
2026-03-22T22:56:33.173830,A,1206643,1407,1
2026-03-22T22:56:33.199244,A,1206665,1440,1
2026-03-22T22:56:33.224084,A,1206687,1404,1
2026-03-22T22:56:33.249561,A,1206720,1459,1
2026-03-22T22:56:33.299012,A,1206742,1552,1
2026-03-22T22:56:33.324277,A,1206765,1420,1
2026-03-22T22:56:33.349339,A,1206797,1693,1
2026-03-22T22:56:33.374163,A,1206820,1462,1
2026-03-22T22:56:33.400102,A,1206842,1548,1
2026-03-22T22:56:33.423933,A,1206865,1533,1
2026-03-22T22:56:33.449433,A,1206897,1480,1
2026-03-22T22:56:33.474253,A,1206919,1435,1
2026-03-22T22:56:33.500908,A,1206942,1532,1
